#day,name,nightly,weekly,monthly
Nov-22-2014,225769,*,425,950
Nov-23-2014,225769,*,425,950
Nov-24-2014,225769,*,425,950
Nov-25-2014,225769,*,425,950
Nov-26-2014,225769,*,425,950
Nov-27-2014,225769,*,425,950
Nov-28-2014,225769,*,425,950
Nov-29-2014,225769,*,425,950
Nov-30-2014,225769,*,425,950
Dec-01-2014,225769,*,425,950
Dec-02-2014,225769,*,425,950
Dec-03-2014,225769,*,425,950
Dec-04-2014,225769,*,425,950
Dec-05-2014,225769,*,425,950
Dec-06-2014,225769,*,425,950
Dec-07-2014,225769,*,425,950
Dec-08-2014,225769,*,425,950
Dec-09-2014,225769,*,425,950
Dec-10-2014,225769,*,425,950
Dec-11-2014,225769,*,425,950
Dec-12-2014,225769,*,425,950
Dec-13-2014,225769,*,425,950
Dec-14-2014,225769,*,425,950
Dec-15-2014,225769,*,425,950
Dec-16-2014,225769,*,425,950
Dec-17-2014,225769,*,425,950
Dec-18-2014,225769,*,425,950
Dec-19-2014,225769,*,425,950
Dec-20-2014,225769,*,425,950
Dec-21-2014,225769,*,425,950
Dec-22-2014,225769,*,425,950
Dec-23-2014,225769,*,425,950
Dec-24-2014,225769,*,425,950
Dec-25-2014,225769,*,425,950
Dec-26-2014,225769,*,425,950
Dec-27-2014,225769,*,425,950
Dec-28-2014,225769,*,425,950
Dec-29-2014,225769,*,425,950
Dec-30-2014,225769,*,*,*
Dec-31-2014,225769,*,*,*
